Episode,Epsilon,Total Reward,Loss,Steps,Collisions,Exit Reason
1,0.995,-1100.0,2854.5392710711913,60,5,Collision tolerance exceeded
2,0.990025,-1260.0,5243.973787953429,46,5,Collision tolerance exceeded
3,0.985074875,-1632.0,5206.607111651286,54,5,Collision tolerance exceeded
4,0.9801495006250001,-944.0,2530.9858758413147,29,5,Collision tolerance exceeded
5,0.9752487531218751,-884.0,3792.0022167394677,46,5,Collision tolerance exceeded
6,0.9703725093562657,-998.0,3067.1553681805235,39,5,Collision tolerance exceeded
7,0.9655206468094844,-738.0,1937.0289135092314,21,5,Collision tolerance exceeded
8,0.960693043575437,-1496.0,6344.830202481504,70,5,Collision tolerance exceeded
9,0.9558895783575597,-1806.0,7399.1599231446635,67,5,Collision tolerance exceeded
10,0.9511101304657719,-892.0,2951.9425338955434,26,5,Collision tolerance exceeded
11,0.946354579813443,-1606.0,3324.3165203817202,28,5,Collision tolerance exceeded
12,0.9416228069143757,-1762.0,6709.0633009516005,47,5,Collision tolerance exceeded
13,0.9369146928798039,-672.0,4781.491435799069,33,5,Collision tolerance exceeded
14,0.9322301194154049,-810.0,5402.886949648624,35,5,Collision tolerance exceeded
15,0.9275689688183278,-512.0,6271.027858223337,48,5,Collision tolerance exceeded
16,0.9229311239742362,-1014.0,4588.863384765649,37,5,Collision tolerance exceeded
17,0.918316468354365,-1128.0,3706.6381273112215,30,5,Collision tolerance exceeded
18,0.9137248860125932,-1280.0,5478.055153344555,40,5,Collision tolerance exceeded
19,0.9091562615825302,-1380.0,3382.657482329436,24,5,Collision tolerance exceeded
20,0.9046104802746175,-1212.0,4801.679188979921,28,5,Collision tolerance exceeded
21,0.9000874278732445,-2700.0,9944.420852269037,58,5,Collision tolerance exceeded
22,0.8955869907338783,-682.0,5518.564170481073,33,5,Collision tolerance exceeded
23,0.8911090557802088,-716.0,7654.0801827271,44,5,Collision tolerance exceeded
24,0.8866535105013078,-740.0,5060.695466248573,28,5,Collision tolerance exceeded
25,0.8822202429488013,-3476.0,11189.560182136413,56,5,Collision tolerance exceeded
26,0.8778091417340573,-626.0,5383.023636637339,29,5,Collision tolerance exceeded
27,0.8734200960253871,-1660.0,10748.493146454422,50,5,Collision tolerance exceeded
28,0.8690529955452602,-766.0,6580.743762305545,27,5,Collision tolerance exceeded
29,0.8647077305675338,-806.0,7431.407854265839,31,5,Collision tolerance exceeded
30,0.8603841919146962,-3094.0,14881.222992760468,58,5,Collision tolerance exceeded
31,0.8560822709551227,-1456.0,6771.4773695295125,28,5,Collision tolerance exceeded
32,0.851801859600347,-1106.0,6791.20045011014,31,5,Collision tolerance exceeded
33,0.8475428503023453,-1332.0,8162.445022758737,40,5,Collision tolerance exceeded
34,0.8433051360508336,-1102.0,6679.081323819034,33,5,Collision tolerance exceeded
35,0.8390886103705794,-2064.0,15733.751102768338,88,5,Collision tolerance exceeded
36,0.8348931673187264,-1518.0,8773.530185302538,45,5,Collision tolerance exceeded
37,0.8307187014821328,-1662.0,8015.727410113894,35,5,Collision tolerance exceeded
38,0.8265651079747222,-1502.0,10008.114770432574,49,5,Collision tolerance exceeded
39,0.8224322824348486,-472.0,6719.490967094915,30,5,Collision tolerance exceeded
40,0.8183201210226743,-1330.0,7204.857085061696,29,5,Collision tolerance exceeded
